epoch,avg_reward,max_reward,avg_steps,best_reward,success_rate,epsilon
1,-378.1,-316,99.4,-378.1,0.0,0.995
2,-404.2,-361,100.0,-378.1,0.0,0.990025
3,-391.6,-334,100.0,-378.1,0.0,0.985074875
4,-400.6,-316,100.0,-378.1,0.0,0.9801495006250001
5,-381.7,-316,100.0,-378.1,0.0,0.9752487531218751
6,-395.2,-343,100.0,-378.1,0.0,0.9703725093562657
7,-393.4,-343,100.0,-378.1,0.0,0.9655206468094844
8,-406.9,-343,100.0,-378.1,0.0,0.960693043575437
9,-385.3,-298,100.0,-378.1,0.0,0.9558895783575597
10,-383.0,-176,95.3,-378.1,0.0,0.9511101304657719
